position,keywords
Software Engineer,"develop,design,code,program,debug"
Data Scientist,"research,analyze,data,statistical,experiment"
UX/UI Designer,"design,prototyping,usability,sketch,interface"
Product Manager,"strategy,roadmap,launch,market,analyze"
Network Engineer,"configure,administer,install,monitor,network"
Digital Marketing Specialist,"SEO,SEM,social media,analytics,campaign"
Financial Analyst,"analyze,forecast,budget,report,audit"
Human Resources Manager,"recruit,employee relations,compliance,training,benefits"
Content Writer,"write,edit,proofread,create,engage"
Graphic Designer,"illustrate,layout,typography,branding,visualize"
Sales Representative,"prospect,negotiate,pitch,close,client"
IT Support Specialist,"troubleshoot,resolve,install,configure,maintain"
Data Analyst,"analyze,interpret,report,statistics,query"
Systems Administrator,"administer,monitor,deploy,upgrade,configure"
Customer Support Specialist,"assist,troubleshoot,resolve,inquiries,escalation"
Supply Chain Manager,"optimize,coordinate,logistics,inventory,procure"
Quality Assurance Engineer,"test,verify,validate,automate,debug"
DevOps Engineer,"deploy,automate,configure,monitor,orchestrate"
UI/UX Developer,"design,front-end,usability,implement,interact"
Technical Writer,"document,create,edit,review,revise"
Cybersecurity Analyst,"monitor,protect,analyze,secure,detect"
Research Scientist,"conduct,experiment,analyze,observe,discover"
Operations Manager,"optimize,coordinate,efficiency,supervise,process"
Mechanical Engineer,"design,analyze,prototype,manufacture,validate"
Architect,"design,plan,draw,create,construct"
Healthcare Administrator,"manage,coordinate,regulate,plan,administer"
Business Analyst,"analyze,document,requirements,evaluate,improve"
Electrical Engineer,"design,analyze,implement,test,develop"
UX Researcher,"plan,conduct,analyze,usability,observe"
Project Manager,"plan,execute,coordinate,communicate,monitor"
Legal Counsel,"advise,review,negotiate,legal research,draft"
Data Engineer,"develop,build,maintain,design,implement"
Biomedical Engineer,"design,develop,implement,validate,test"
Social Media Manager,"content,engage,promote,analytics,monitor"
Systems Analyst,"analyze,design,implement,evaluate,modify"
Chemical Engineer,"design,develop,implement,process,analyze"
AI/ML Engineer,"develop,train,implement,analyze,optimize"
Technical Support Engineer,"troubleshoot,resolve,install,configure,assist"
Pharmacist,"dispense,review,monitor,consult,administer"
Interior Designer,"design,space,plan,coordinate,visualize"
Event Planner,"organize,plan,coordinate,execute,manage"
Civil Engineer,"design,analyze,construct,inspect,manage"
Environmental Scientist,"analyze,study,assess,monitor,evaluate"
Digital Analyst,"analyze,interpret,report,web,metrics"
UX/UI Architect,"design,prototype,usability,lead,implement"
Chief Financial Officer,"oversee,manage,financial strategy,report,analyze"
Chief Technology Officer,"lead,innovate,technology strategy,develop,execute"
Chief Marketing Officer,"lead,strategize,execute,analyze,promote"
Chief Executive Officer,"lead,manage,strategize,execute,oversee"
Frontend Developer,"HTML,CSS,JavaScript,React,Vue"
Backend Developer,"Node.js,Express,API,Database,Server"
Full Stack Developer,"frontend,backend,API,React,Node.js"
Mobile App Developer,"Android,iOS,React Native,Flutter,Kotlin"
Cloud Engineer,"AWS,Azure,GCP,deploy,manage"
Site Reliability Engineer,"monitor,automate,scale,reliability,incident"
Database Administrator,"SQL,backup,restore,query,optimize"
Machine Learning Engineer,"train,model,data,algorithm,deploy"
AI Research Engineer,"deep learning,NLP,vision,transformer,generative"
Data Architect,"design,data pipeline,ETL,warehouse,schema"
Software Architect,"design,system,scalability,architecture,integrate"
Game Developer,"Unity,Unreal Engine,graphics,physics,scripting"
Blockchain Developer,"smart contract,Solidity,Ethereum,Web3,crypto"
Embedded Systems Engineer,"microcontroller,C,firmware,IoT,hardware"
IoT Engineer,"sensor,connectivity,MQTT,device,cloud"
Cloud Architect,"design,infrastructure,deploy,cloud,secure"
Security Engineer,"firewall,encrypt,penetration,test,secure"
AI Prompt Engineer,"LLM,prompt,context,generate,optimize"
Data Visualization Engineer,"dashboard,chart,D3.js,PowerBI,insight"
Automation Engineer,"script,automate,test,CI/CD,pipeline"
Performance Engineer,"optimize,load,stress,benchmark,scalability"
Test Automation Engineer,"Selenium,Cypress,framework,script,validate"
MLOps Engineer,"pipeline,deploy,monitor,model,data"
Game Designer,"concept,mechanics,prototype,level,balance"
DataOps Engineer,"pipeline,ETL,automate,monitor,deploy"
Cloud Security Engineer,"IAM,encrypt,compliance,firewall,audit"
Kubernetes Administrator,"pods,deploy,scale,container,cluster"
DevSecOps Engineer,"secure,integrate,compliance,automate,monitor"
API Developer,"REST,GraphQL,JSON,endpoint,authentication"
AR/VR Developer,"Unity,3D,immersive,interaction,render"
Mobile Security Analyst,"penetration,appsec,secure,analyze,threat"
Platform Engineer,"CI/CD,infrastructure,automate,monitor,tools"
Software QA Tester,"testcase,execute,bug,report,validate"
Data Platform Engineer,"Spark,Hadoop,pipeline,warehouse,stream"
NLP Engineer,"text,embedding,token,context,classify"
Computer Vision Engineer,"image,detect,recognize,process,train"
Firmware Engineer,"C++,microcontroller,debug,embedded,hardware"
Network Security Engineer,"firewall,IDS,VPN,protect,configure"
Cloud DevOps Engineer,"pipeline,deploy,monitor,container,automate"
API Integration Specialist,"integrate,REST,authentication,workflow,data"
Technical Architect,"architecture,design,scalability,system,integration"
ETL Developer,"extract,transform,load,data,pipeline"
Data Warehouse Engineer,"warehouse,model,query,OLAP,BI"
Penetration Tester,"exploit,scan,vulnerability,assess,report"
Information Security Analyst,"detect,prevent,monitor,compliance,protect"
AI Product Manager,"AI strategy,roadmap,data,model,deploy"
Backend API Engineer,"server,REST,auth,performance,integrate"
Software Build Engineer,"CI/CD,compile,deploy,artifact,automate"
Infrastructure Engineer,"network,server,provision,deploy,maintain"
Cloud Automation Engineer,"Terraform,Ansible,script,automate,deploy"
Technical Recruiter,"hire,screen,interview,source,technical"
Scrum Master,"agile,sprint,stand-up,backlog,facilitate"
Product Owner,"requirement,backlog,user story,prioritize,stakeholder"
Technical Project Manager,"plan,deliver,coordinate,team,deadline"
Agile Coach,"agile,coach,transform,scrum,process"
IT Consultant,"advise,implement,solution,analyze,system"
Solutions Architect,"design,integrate,client,architecture,requirement"
Technical Account Manager,"client,relationship,technical,support,solution"
Pre-Sales Engineer,"demo,proposal,client,solution,technical"
Customer Success Manager,"retain,engage,onboard,train,feedback"
IT Business Analyst,"gather,requirement,document,analyze,system"
Change Management Specialist,"transition,process,adopt,train,improve"
IT Trainer,"train,teach,certify,workshop,guide"
Technical Program Manager,"plan,oversee,coordinate,technical,initiative"
Implementation Specialist,"deploy,configure,train,support,onboard"
ERP Consultant,"SAP,Oracle,implement,module,configure"
CRM Consultant,"Salesforce,HubSpot,implement,customize,train"
Data Product Manager,"data strategy,roadmap,analytics,insight,metric"
Cybersecurity Consultant,"assess,protect,plan,policy,compliance"
IT Auditor,"audit,review,control,compliance,security"
Business Systems Analyst,"model,analyze,requirement,workflow,document"
Digital Transformation Manager,"modernize,process,automate,cloud,change"
Technical Support Lead,"supervise,resolve,troubleshoot,coordinate,mentor"
IT Operations Manager,"monitor,maintain,service,uptime,performance"
IT Compliance Manager,"policy,standard,regulation,audit,security"
Service Delivery Manager,"deliver,monitor,contract,client,SLA"
Technical Product Analyst,"analyze,document,feature,metric,feedback"
QA Lead,"manage,test,plan,validate,team"
Release Manager,"deploy,release,coordinate,version,track"
Configuration Manager,"manage,change,build,baseline,track"
Training and Development Specialist,"develop,train,content,skill,upskill"
Technical Marketing Engineer,"demo,promote,content,product,evangelize"
IT Risk Analyst,"evaluate,threat,policy,mitigate,report"
Enterprise Architect,"design,align,strategy,architecture,standard"
Support Operations Analyst,"ticket,monitor,report,process,improve"
Vendor Management Specialist,"negotiate,contract,supplier,procure,review"
